"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2013","36","36057","Montgomery County (NY)","48,974","8,467","7,023","9,911","7,023 to 9,911","17.3","14.4","20.2","14.4 to 20.2","11,112","3,165","2,534","3,796","2,534 to 3,796","28.5","22.8","34.2","22.8 to 34.2","8,131","2,188","1,710","2,666","1,710 to 2,666","26.9","21.0","32.8","21.0 to 32.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$43,880","$41,298","$46,462","$41,298 to $46,462"
"2016","36","36059","Nassau County (NY)","1,340,325","82,192","73,183","91,201","73,183 to 91,201","6.1","5.4","6.8","5.4 to 6.8","291,481","23,688","19,918","27,458","19,918 to 27,458","8.1","6.8","9.4","6.8 to 9.4","219,132","16,237","13,237","19,237","13,237 to 19,237","7.4","6.0","8.8","6.0 to 8.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$105,486","$103,801","$107,171","$103,801 to $107,171"
"2013","36","36059","Nassau County (NY)","1,330,813","86,249","75,174","97,324","75,174 to 97,324","6.5","5.7","7.3","5.7 to 7.3","297,656","27,137","23,271","31,003","23,271 to 31,003","9.1","7.8","10.4","7.8 to 10.4","225,784","19,241","16,130","22,352","16,130 to 22,352","8.5","7.1","9.9","7.1 to 9.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$95,395","$93,361","$97,429","$93,361 to $97,429"
"2016","36","36061","New York County (NY)","1,592,914","274,651","260,520","288,782","260,520 to 288,782","17.2","16.3","18.1","16.3 to 18.1","235,493","55,603","49,805","61,401","49,805 to 61,401","23.6","21.1","26.1","21.1 to 26.1","156,219","38,829","34,353","43,305","34,353 to 43,305","24.9","22.0","27.8","22.0 to 27.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$77,214","$74,986","$79,442","$74,986 to $79,442"
"2013","36","36061","New York County (NY)","1,575,165","298,968","281,554","316,382","281,554 to 316,382","19.0","17.9","20.1","17.9 to 20.1","234,440","62,281","55,431","69,131","55,431 to 69,131","26.6","23.7","29.5","23.7 to 29.5","151,562","43,340","38,049","48,631","38,049 to 48,631","28.6","25.1","32.1","25.1 to 32.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$71,443","$69,594","$73,292","$69,594 to $73,292"
"2016","36","36063","Niagara County (NY)","207,694","26,152","22,990","29,314","22,990 to 29,314","12.6","11.1","14.1","11.1 to 14.1","42,102","7,741","6,503","8,979","6,503 to 8,979","18.4","15.5","21.3","15.5 to 21.3","31,243","4,803","3,770","5,836","3,770 to 5,836","15.4","12.1","18.7","12.1 to 18.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$50,328","$47,983","$52,673","$47,983 to $52,673"
"2013","36","36063","Niagara County (NY)","210,040","28,900","25,435","32,365","25,435 to 32,365","13.8","12.2","15.4","12.2 to 15.4","43,349","8,466","7,068","9,864","7,068 to 9,864","19.5","16.3","22.7","16.3 to 22.7","32,218","5,775","4,668","6,882","4,668 to 6,882","17.9","14.5","21.3","14.5 to 21.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$46,752","$44,243","$49,261","$44,243 to $49,261"
"2016","36","36065","Oneida County (NY)","218,780","35,553","30,888","40,218","30,888 to 40,218","16.3","14.2","18.4","14.2 to 18.4","48,075","12,467","10,411","14,523","10,411 to 14,523","25.9","21.6","30.2","21.6 to 30.2","35,008","8,149","6,589","9,709","6,589 to 9,709","23.3","18.8","27.8","18.8 to 27.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$52,404","$50,678","$54,130","$50,678 to $54,130"
"2013","36","36065","Oneida County (NY)","221,212","38,853","34,763","42,943","34,763 to 42,943","17.6","15.8","19.4","15.8 to 19.4","48,928","12,504","10,700","14,308","10,700 to 14,308","25.6","21.9","29.3","21.9 to 29.3","35,545","8,470","6,963","9,977","6,963 to 9,977","23.8","19.6","28.0","19.6 to 28.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$44,031","$41,508","$46,554","$41,508 to $46,554"
"2016","36","36067","Onondaga County (NY)","449,895","65,822","61,007","70,637","61,007 to 70,637","14.6","13.5","15.7","13.5 to 15.7","98,955","19,678","17,406","21,950","17,406 to 21,950","19.9","17.6","22.2","17.6 to 22.2","72,677","13,184","11,443","14,925","11,443 to 14,925","18.1","15.7","20.5","15.7 to 20.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$56,853","$55,157","$58,549","$55,157 to $58,549"
"2013","36","36067","Onondaga County (NY)","452,549","69,016","63,402","74,630","63,402 to 74,630","15.3","14.1","16.5","14.1 to 16.5","101,801","21,778","19,334","24,222","19,334 to 24,222","21.4","19.0","23.8","19.0 to 23.8","74,771","14,924","12,934","16,914","12,934 to 16,914","20.0","17.3","22.7","17.3 to 22.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$52,055","$50,627","$53,483","$50,627 to $53,483"
"2016","36","36069","Ontario County (NY)","106,635","10,240","8,332","12,148","8,332 to 12,148","9.6","7.8","11.4","7.8 to 11.4","22,186","3,106","2,463","3,749","2,463 to 3,749","14.0","11.1","16.9","11.1 to 16.9","16,580","2,150","1,692","2,608","1,692 to 2,608","13.0","10.2","15.8","10.2 to 15.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$58,320","$54,695","$61,945","$54,695 to $61,945"
"2013","36","36069","Ontario County (NY)","105,952","10,641","8,892","12,390","8,892 to 12,390","10.0","8.3","11.7","8.3 to 11.7","22,726","3,018","2,402","3,634","2,402 to 3,634","13.3","10.6","16.0","10.6 to 16.0","17,282","2,046","1,566","2,526","1,566 to 2,526","11.8","9.0","14.6","9.0 to 14.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$57,846","$55,802","$59,890","$55,802 to $59,890"
"2016","36","36071","Orange County (NY)","368,757","46,624","40,867","52,381","40,867 to 52,381","12.6","11.0","14.2","11.0 to 14.2","96,015","18,526","15,625","21,427","15,625 to 21,427","19.3","16.3","22.3","16.3 to 22.3","71,410","11,995","9,633","14,357","9,633 to 14,357","16.8","13.5","20.1","13.5 to 20.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$71,963","$68,504","$75,422","$68,504 to $75,422"
"2013","36","36071","Orange County (NY)","364,992","49,520","43,858","55,182","43,858 to 55,182","13.6","12.0","15.2","12.0 to 15.2","97,591","20,727","18,189","23,265","18,189 to 23,265","21.2","18.6","23.8","18.6 to 23.8","72,637","14,969","13,051","16,887","13,051 to 16,887","20.6","18.0","23.2","18.0 to 23.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$68,249","$66,104","$70,394","$66,104 to $70,394"
"2016","36","36073","Orleans County (NY)","38,774","5,905","5,011","6,799","5,011 to 6,799","15.2","12.9","17.5","12.9 to 17.5","8,079","1,797","1,464","2,130","1,464 to 2,130","22.2","18.1","26.3","18.1 to 26.3","6,013","1,148","893","1,403","893 to 1,403","19.1","14.9","23.3","14.9 to 23.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$50,750","$47,413","$54,087","$47,413 to $54,087"
"2013","36","36073","Orleans County (NY)","39,824","6,239","5,127","7,351","5,127 to 7,351","15.7","12.9","18.5","12.9 to 18.5","8,487","2,098","1,723","2,473","1,723 to 2,473","24.7","20.3","29.1","20.3 to 29.1","6,364","1,345","1,056","1,634","1,056 to 1,634","21.1","16.6","25.6","16.6 to 25.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$43,876","$39,975","$47,777","$39,975 to $47,777"
"2016","36","36075","Oswego County (NY)","113,776","19,549","17,161","21,937","17,161 to 21,937","17.2","15.1","19.3","15.1 to 19.3","24,870","5,743","4,710","6,776","4,710 to 6,776","23.1","18.9","27.3","18.9 to 27.3","18,357","3,933","3,198","4,668","3,198 to 4,668","21.4","17.4","25.4","17.4 to 25.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$52,621","$50,088","$55,154","$50,088 to $55,154"
"2013","36","36075","Oswego County (NY)","116,147","21,585","18,760","24,410","18,760 to 24,410","18.6","16.2","21.0","16.2 to 21.0","25,963","7,192","6,136","8,248","6,136 to 8,248","27.7","23.6","31.8","23.6 to 31.8","19,143","4,608","3,782","5,434","3,782 to 5,434","24.1","19.8","28.4","19.8 to 28.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$46,281","$43,216","$49,346","$43,216 to $49,346"
"2016","36","36077","Otsego County (NY)","55,147","8,124","6,857","9,391","6,857 to 9,391","14.7","12.4","17.0","12.4 to 17.0","9,541","1,839","1,451","2,227","1,451 to 2,227","19.3","15.2","23.4","15.2 to 23.4","6,911","1,242","964","1,520","964 to 1,520","18.0","14.0","22.0","14.0 to 22.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$50,034","$47,892","$52,176","$47,892 to $52,176"
"2013","36","36077","Otsego County (NY)","56,600","9,659","8,287","11,031","8,287 to 11,031","17.1","14.7","19.5","14.7 to 19.5","10,338","2,235","1,815","2,655","1,815 to 2,655","21.6","17.5","25.7","17.5 to 25.7","7,615","1,510","1,178","1,842","1,178 to 1,842","19.8","15.4","24.2","15.4 to 24.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$47,689","$45,081","$50,297","$45,081 to $50,297"
"2016","36","36079","Putnam County (NY)","97,223","5,844","4,720","6,968","4,720 to 6,968","6.0","4.8","7.2","4.8 to 7.2","20,029","1,282","979","1,585","979 to 1,585","6.4","4.9","7.9","4.9 to 7.9","15,694","881","664","1,098","664 to 1,098","5.6","4.2","7.0","4.2 to 7.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$96,267","$90,016","$102,518","$90,016 to $102,518"
"2013","36","36079","Putnam County (NY)","97,957","5,709","4,473","6,945","4,473 to 6,945","5.8","4.5","7.1","4.5 to 7.1","21,665","1,447","1,129","1,765","1,129 to 1,765","6.7","5.2","8.2","5.2 to 8.2","16,983","1,020","771","1,269","771 to 1,269","6.0","4.5","7.5","4.5 to 7.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$92,014","$87,154","$96,874","$87,154 to $96,874"
"2016","36","36081","Queens County (NY)","2,306,541","307,866","286,037","329,695","286,037 to 329,695","13.3","12.4","14.2","12.4 to 14.2","467,742","85,231","75,458","95,004","75,458 to 95,004","18.2","16.1","20.3","16.1 to 20.3","325,492","59,602","52,319","66,885","52,319 to 66,885","18.3","16.1","20.5","16.1 to 20.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$61,844","$60,926","$62,762","$60,926 to $62,762"
"2013","36","36081","Queens County (NY)","2,270,393","350,774","328,052","373,496","328,052 to 373,496","15.4","14.4","16.4","14.4 to 16.4","461,868","99,825","89,196","110,454","89,196 to 110,454","21.6","19.3","23.9","19.3 to 23.9","321,654","71,221","63,258","79,184","63,258 to 79,184","22.1","19.6","24.6","19.6 to 24.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$56,307","$55,538","$57,076","$55,538 to $57,076"
"2016","36","36083","Rensselaer County (NY)","154,322","17,978","15,856","20,100","15,856 to 20,100","11.6","10.2","13.0","10.2 to 13.0","31,460","5,530","4,618","6,442","4,618 to 6,442","17.6","14.7","20.5","14.7 to 20.5","23,085","3,588","2,884","4,292","2,884 to 4,292","15.5","12.5","18.5","12.5 to 18.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$63,174","$59,077","$67,271","$59,077 to $67,271"
"2013","36","36083","Rensselaer County (NY)","154,111","21,555","18,838","24,272","18,838 to 24,272","14.0","12.2","15.8","12.2 to 15.8","32,207","6,662","5,695","7,629","5,695 to 7,629","20.7","17.7","23.7","17.7 to 23.7","23,562","4,611","3,898","5,324","3,898 to 5,324","19.6","16.6","22.6","16.6 to 22.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$56,643","$53,685","$59,601","$53,685 to $59,601"
"2016","36","36085","Richmond County (NY)","470,506","62,030","55,162","68,898","55,162 to 68,898","13.2","11.7","14.7","11.7 to 14.7","103,783","19,330","16,744","21,916","16,744 to 21,916","18.6","16.1","21.1","16.1 to 21.1","77,154","14,114","12,183","16,045","12,183 to 16,045","18.3","15.8","20.8","15.8 to 20.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$75,524","$71,983","$79,065","$71,983 to $79,065"
"2013","36","36085","Richmond County (NY)","467,253","61,332","53,788","68,876","53,788 to 68,876","13.1","11.5","14.7","11.5 to 14.7","105,425","20,022","17,072","22,972","17,072 to 22,972","19.0","16.2","21.8","16.2 to 21.8","77,761","14,331","12,047","16,615","12,047 to 16,615","18.4","15.5","21.3","15.5 to 21.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$68,621","$65,706","$71,536","$65,706 to $71,536"
"2016","36","36087","Rockland County (NY)","321,790","46,260","40,879","51,641","40,879 to 51,641","14.4","12.7","16.1","12.7 to 16.1","89,724","22,774","20,073","25,475","20,073 to 25,475","25.4","22.4","28.4","22.4 to 28.4","64,945","15,466","13,531","17,401","13,531 to 17,401","23.8","20.8","26.8","20.8 to 26.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$84,358","$79,635","$89,081","$79,635 to $89,081"
"2013","36","36087","Rockland County (NY)","315,894","46,874","41,977","51,771","41,977 to 51,771","14.8","13.2","16.4","13.2 to 16.4","88,197","21,725","19,161","24,289","19,161 to 24,289","24.6","21.7","27.5","21.7 to 27.5","64,121","14,041","12,079","16,003","12,079 to 16,003","21.9","18.8","25.0","18.8 to 25.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$80,132","$77,488","$82,776","$77,488 to $82,776"
"2016","36","36089","St. Lawrence County (NY)","98,560","17,225","14,624","19,826","14,624 to 19,826","17.5","14.9","20.1","14.9 to 20.1","21,702","4,954","3,992","5,916","3,992 to 5,916","22.8","18.4","27.2","18.4 to 27.2","16,101","3,398","2,680","4,116","2,680 to 4,116","21.1","16.6","25.6","16.6 to 25.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$50,897","$49,301","$52,493","$49,301 to $52,493"
"2013","36","36089","St. Lawrence County (NY)","100,544","21,497","18,651","24,343","18,651 to 24,343","21.4","18.6","24.2","18.6 to 24.2","22,616","6,726","5,728","7,724","5,728 to 7,724","29.7","25.3","34.1","25.3 to 34.1","16,458","4,488","3,690","5,286","3,690 to 5,286","27.3","22.4","32.2","22.4 to 32.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$43,556","$40,395","$46,717","$40,395 to $46,717"
"2016","36","36091","Saratoga County (NY)","223,566","14,094","11,729","16,459","11,729 to 16,459","6.3","5.2","7.4","5.2 to 7.4","46,379","3,549","2,718","4,380","2,718 to 4,380","7.7","5.9","9.5","5.9 to 9.5","34,560","2,185","1,581","2,789","1,581 to 2,789","6.3","4.6","8.0","4.6 to 8.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$75,904","$72,860","$78,948","$72,860 to $78,948"
"2013","36","36091","Saratoga County (NY)","219,954","17,347","14,642","20,052","14,642 to 20,052","7.9","6.7","9.1","6.7 to 9.1","47,330","4,600","3,747","5,453","3,747 to 5,453","9.7","7.9","11.5","7.9 to 11.5","35,734","3,184","2,520","3,848","2,520 to 3,848","8.9","7.0","10.8","7.0 to 10.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$69,917","$66,489","$73,345","$66,489 to $73,345"
"2016","36","36093","Schenectady County (NY)","150,753","17,158","13,971","20,345","13,971 to 20,345","11.4","9.3","13.5","9.3 to 13.5","32,982","5,996","4,630","7,362","4,630 to 7,362","18.2","14.1","22.3","14.1 to 22.3","23,913","4,042","3,046","5,038","3,046 to 5,038","16.9","12.7","21.1","12.7 to 21.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$57,923","$54,089","$61,757","$54,089 to $61,757"
"2013","36","36093","Schenectady County (NY)","151,517","21,582","18,603","24,561","18,603 to 24,561","14.2","12.2","16.2","12.2 to 16.2","33,725","8,038","6,865","9,211","6,865 to 9,211","23.8","20.3","27.3","20.3 to 27.3","24,726","5,755","4,872","6,638","4,872 to 6,638","23.3","19.7","26.9","19.7 to 26.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$53,978","$51,176","$56,780","$51,176 to $56,780"
"2016","36","36095","Schoharie County (NY)","29,900","3,802","3,060","4,544","3,060 to 4,544","12.7","10.2","15.2","10.2 to 15.2","5,648","1,011","777","1,245","777 to 1,245","17.9","13.8","22.0","13.8 to 22.0","4,300","682","508","856","508 to 856","15.9","11.8","20.0","11.8 to 20.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$50,244","$47,220","$53,268","$47,220 to $53,268"
"2013","36","36095","Schoharie County (NY)","30,526","4,187","3,384","4,990","3,384 to 4,990","13.7","11.1","16.3","11.1 to 16.3","5,979","1,123","885","1,361","885 to 1,361","18.8","14.8","22.8","14.8 to 22.8","4,475","778","586","970","586 to 970","17.4","13.1","21.7","13.1 to 21.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$49,307","$45,721","$52,893","$45,721 to $52,893"
"2016","36","36097","Schuyler County (NY)","17,837","2,684","2,230","3,138","2,230 to 3,138","15.0","12.5","17.5","12.5 to 17.5","3,359","741","579","903","579 to 903","22.1","17.3","26.9","17.3 to 26.9","2,515","514","398","630","398 to 630","20.4","15.8","25.0","15.8 to 25.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$48,109","$43,296","$52,922","$43,296 to $52,922"
"2013","36","36097","Schuyler County (NY)","18,000","3,217","2,738","3,696","2,738 to 3,696","17.9","15.2","20.6","15.2 to 20.6","3,494","900","737","1,063","737 to 1,063","25.8","21.1","30.5","21.1 to 30.5","2,640","581","446","716","446 to 716","22.0","16.9","27.1","16.9 to 27.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$44,080","$40,272","$47,888","$40,272 to $47,888"
"2016","36","36099","Seneca County (NY)","32,047","4,322","3,451","5,193","3,451 to 5,193","13.5","10.8","16.2","10.8 to 16.2","6,797","1,437","1,102","1,772","1,102 to 1,772","21.1","16.2","26.0","16.2 to 26.0","4,893","1,005","758","1,252","758 to 1,252","20.5","15.5","25.5","15.5 to 25.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$48,998","$45,958","$52,038","$45,958 to $52,038"
"2013","36","36099","Seneca County (NY)","32,592","4,267","3,396","5,138","3,396 to 5,138","13.1","10.4","15.8","10.4 to 15.8","7,029","1,526","1,180","1,872","1,180 to 1,872","21.7","16.8","26.6","16.8 to 26.6","5,091","1,060","785","1,335","785 to 1,335","20.8","15.4","26.2","15.4 to 26.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$45,265","$42,355","$48,175","$42,355 to $48,175"
"2016","36","36101","Steuben County (NY)","95,303","12,546","10,549","14,543","10,549 to 14,543","13.2","11.1","15.3","11.1 to 15.3","20,697","4,435","3,576","5,294","3,576 to 5,294","21.4","17.2","25.6","17.2 to 25.6","15,285","2,936","2,281","3,591","2,281 to 3,591","19.2","14.9","23.5","14.9 to 23.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$50,190","$47,754","$52,626","$47,754 to $52,626"
"2013","36","36101","Steuben County (NY)","97,211","15,164","13,240","17,088","13,240 to 17,088","15.6","13.6","17.6","13.6 to 17.6","21,630","5,348","4,528","6,168","4,528 to 6,168","24.7","20.9","28.5","20.9 to 28.5","16,058","3,510","2,854","4,166","2,854 to 4,166","21.9","17.8","26.0","17.8 to 26.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$46,540","$43,995","$49,085","$43,995 to $49,085"
"2016","36","36103","Suffolk County (NY)","1,464,556","111,341","97,366","125,316","97,366 to 125,316","7.6","6.6","8.6","6.6 to 8.6","315,949","33,212","27,663","38,761","27,663 to 38,761","10.5","8.7","12.3","8.7 to 12.3","239,083","23,515","19,623","27,407","19,623 to 27,407","9.8","8.2","11.4","8.2 to 11.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$92,310","$90,255","$94,365","$90,255 to $94,365"
"2013","36","36103","Suffolk County (NY)","1,471,114","110,070","98,918","121,222","98,918 to 121,222","7.5","6.7","8.3","6.7 to 8.3","332,190","33,704","29,060","38,348","29,060 to 38,348","10.1","8.7","11.5","8.7 to 11.5","252,353","22,275","18,761","25,789","18,761 to 25,789","8.8","7.4","10.2","7.4 to 10.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$84,940","$83,412","$86,468","$83,412 to $86,468"
"2016","36","36105","Sullivan County (NY)","72,466","12,240","9,865","14,615","9,865 to 14,615","16.9","13.6","20.2","13.6 to 20.2","15,584","3,960","3,055","4,865","3,055 to 4,865","25.4","19.6","31.2","19.6 to 31.2","11,348","2,738","2,073","3,403","2,073 to 3,403","24.1","18.2","30.0","18.2 to 30.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$49,016","$44,171","$53,861","$44,171 to $53,861"
"2013","36","36105","Sullivan County (NY)","74,302","14,396","12,253","16,539","12,253 to 16,539","19.4","16.5","22.3","16.5 to 22.3","16,202","4,581","3,705","5,457","3,705 to 5,457","28.3","22.9","33.7","22.9 to 33.7","11,816","3,241","2,573","3,909","2,573 to 3,909","27.4","21.8","33.0","21.8 to 33.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$46,928","$44,069","$49,787","$44,069 to $49,787"
"2016","36","36107","Tioga County (NY)","48,229","6,141","5,168","7,114","5,168 to 7,114","12.7","10.7","14.7","10.7 to 14.7","10,358","1,985","1,597","2,373","1,597 to 2,373","19.2","15.5","22.9","15.5 to 22.9","7,830","1,292","1,001","1,583","1,001 to 1,583","16.5","12.8","20.2","12.8 to 20.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$55,643","$51,276","$60,010","$51,276 to $60,010"
"2013","36","36107","Tioga County (NY)","49,696","5,812","4,654","6,970","4,654 to 6,970","11.7","9.4","14.0","9.4 to 14.0","11,044","1,990","1,574","2,406","1,574 to 2,406","18.0","14.2","21.8","14.2 to 21.8","8,403","1,381","1,062","1,700","1,062 to 1,700","16.4","12.6","20.2","12.6 to 20.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$51,026","$46,928","$55,124","$46,928 to $55,124"
"2016","36","36109","Tompkins County (NY)","91,818","17,022","15,077","18,967","15,077 to 18,967","18.5","16.4","20.6","16.4 to 20.6","15,090","2,321","1,837","2,805","1,837 to 2,805","15.4","12.2","18.6","12.2 to 18.6","10,800","1,525","1,174","1,876","1,174 to 1,876","14.1","10.9","17.3","10.9 to 17.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$55,778","$52,966","$58,590","$52,966 to $58,590"
"2013","36","36109","Tompkins County (NY)","90,750","17,085","15,064","19,106","15,064 to 19,106","18.8","16.6","21.0","16.6 to 21.0","15,709","2,814","2,279","3,349","2,279 to 3,349","17.9","14.5","21.3","14.5 to 21.3","11,275","1,890","1,473","2,307","1,473 to 2,307","16.8","13.1","20.5","13.1 to 20.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$49,457","$45,754","$53,160","$45,754 to $53,160"
"2016","36","36111","Ulster County (NY)","171,636","23,815","20,792","26,838","20,792 to 26,838","13.9","12.1","15.7","12.1 to 15.7","31,611","5,563","4,509","6,617","4,509 to 6,617","17.6","14.3","20.9","14.3 to 20.9","23,804","3,792","2,999","4,585","2,999 to 4,585","15.9","12.6","19.2","12.6 to 19.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$61,421","$58,419","$64,423","$58,419 to $64,423"
"2013","36","36111","Ulster County (NY)","173,228","22,049","18,102","25,996","18,102 to 25,996","12.7","10.4","15.0","10.4 to 15.0","33,244","5,790","4,538","7,042","4,538 to 7,042","17.4","13.6","21.2","13.6 to 21.2","24,944","3,890","2,911","4,869","2,911 to 4,869","15.6","11.7","19.5","11.7 to 19.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$56,933","$54,085","$59,781","$54,085 to $59,781"
"2016","36","36113","Warren County (NY)","63,864","7,479","6,207","8,751","6,207 to 8,751","11.7","9.7","13.7","9.7 to 13.7","11,770","2,158","1,717","2,599","1,717 to 2,599","18.3","14.6","22.0","14.6 to 22.0","8,826","1,412","1,077","1,747","1,077 to 1,747","16.0","12.2","19.8","12.2 to 19.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$55,769","$51,489","$60,049","$51,489 to $60,049"
"2013","36","36113","Warren County (NY)","64,548","7,262","5,890","8,634","5,890 to 8,634","11.3","9.2","13.4","9.2 to 13.4","12,363","2,338","1,860","2,816","1,860 to 2,816","18.9","15.0","22.8","15.0 to 22.8","9,214","1,634","1,263","2,005","1,263 to 2,005","17.7","13.7","21.7","13.7 to 21.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$52,552","$49,172","$55,932","$49,172 to $55,932"
"2016","36","36115","Washington County (NY)","58,623","6,479","5,169","7,789","5,169 to 7,789","11.1","8.9","13.3","8.9 to 13.3","11,540","1,964","1,479","2,449","1,479 to 2,449","17.0","12.8","21.2","12.8 to 21.2","8,530","1,362","1,000","1,724","1,000 to 1,724","16.0","11.8","20.2","11.8 to 20.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$51,052","$48,061","$54,043","$48,061 to $54,043"
"2013","36","36115","Washington County (NY)","59,558","8,972","7,583","10,361","7,583 to 10,361","15.1","12.8","17.4","12.8 to 17.4","12,323","2,672","2,163","3,181","2,163 to 3,181","21.7","17.6","25.8","17.6 to 25.8","9,126","1,831","1,434","2,228","1,434 to 2,228","20.1","15.7","24.5","15.7 to 24.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$48,522","$44,840","$52,204","$44,840 to $52,204"
"2016","36","36117","Wayne County (NY)","89,748","9,296","7,571","11,021","7,571 to 11,021","10.4","8.5","12.3","8.5 to 12.3","19,360","3,182","2,524","3,840","2,524 to 3,840","16.4","13.0","19.8","13.0 to 19.8","14,397","2,214","1,730","2,698","1,730 to 2,698","15.4","12.0","18.8","12.0 to 18.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$58,521","$54,989","$62,053","$54,989 to $62,053"
